ID,name,portrait,contexts,eventNum,skipNum
1,,,테이블 위에 누군가의 보고서로 보이는 몇 장의 종이가 가지런히 정리되어 있다. 첫 장에는 제목이 적혀 있다.,,
2,,,『 도서관의 세 뮤즈상 관찰 기록』- 토르소,,
3,당신,1,(토르소. 지하 열람실 6번 자리의 노트에 적혀 있던 이름이다.),,
4,,,"최근 도서관에서 조각상의 위치나 자세가 달라졌다는 이야기가 돌고 있다.",,
5,,,"조각상에 움직인다는 말을 쓰는 게 맞는지는 모르겠지만# 적어도 그렇게 보였다는 사람이 하나둘 늘고 있다.",,
6,,,"이 도서관에 설치된 조각상 중 세 개는 그리스 신화의 뮤즈 자매를 본뜬 것이다.",,
7,,,"9명의 뮤즈 중에서 도서관에 있는 조각상은@칼리오페# 폴리휨니아# 그리고 멜포메네.",,
8,,,"세 조각상은 각자 다른 예술을 상징한다.@칼리오페는 서사시# 폴리휨니아는 기도와 찬가# 멜포메네는 비극.",,
9,,,"하지만 이름보다 중요한 것은# 그들의 상징물이다.",,
10,당신,1,(상징물이라.),,
11,,,"[5/13 관찰 기록]",,
12,,,"칼리오페 — 펼친 두루마리를 한 손으로 가리키고 있다.@근엄한 표정으로# 시선은 당당히 정면을 향한다.",,
13,,,"폴리휨니아 — 기둥에 기대어 서 있다.@침묵을 유지하라는 듯이# 한 손을 입가에 가져다 댄 모습이다.",,
14,,,"멜포메네 — 한 손에 비극의 가면을 아래로 떨구어 쥐고 있다.@비극을 상징하는 가면의 표정과 달리# 드러난 맨얼굴은 어딘가를 긴장한 듯 응시한다.",,
15,,,"세 조각상 모두 명패와 상징이 신화와 일치하는 것을 확인했다. 중요한 것은 조각상이 정말로 '움직였는가'.",,
16,,,"이 기록을 기준으로 이후 변화를 비교해 볼 것이다.@조각상의 상태가 다른 부분이 있는지# 자세가 바뀌었는지.",,
17,,,마지막 줄은 다른 글씨보다 힘이 들어가 있다.,,
18,당신,2,(자세.),,
19,당신,1,(2층에서 다시 확인해봐야겠다.),,
