ID,name,sentences,eventNum,skipNum
1,당신,...무슨 일이시죠.,,
2,리안,어제 현장에서 이상한 점은 없었나? 조각상이라든가... 그 외에 수상한 물건이나# 사람이나. 뭐든 말이네.,,
3,당신,하하. 하나부터 열까지 이상한 점투성이라 어떤 것부터 말씀드려야 할지 잘 모르겠습니다만.,,
4,당신,글쎄요... 하나 있다면 일단...,,
5,당신,(자켓 주머니 안을 더듬는다.),,
6,당신,이런 걸 주웠습니다.,,
7,리안,...보여주게. 조각인가?,,
8,당신,처음에는 그냥 깨진 조각인 줄 알았는데# 돌조각이라기엔 재질이 조금 뭐랄까... 특이해서요.,,
9,당신,표면이 벗겨질 것처럼 거칠고... 이상하게 미지근했습니다.,,
10,리안,미지근했다고?,,
11,당신,네. 손에 오래 쥐고 있었던 것도 아닌데.,,
12,리안,짚이는 데가 전혀 없군. 다만...,,
13,리안,앞으로 이런 건 발견하면 무조건 잘 모아두도록 하게. 하나도 빠짐없이.,,
14,리안,조각상에서 나왔다면# 그냥 넘길 물건은 아닐 걸세.,,
15,당신,...이걸 모으면# 뭔가 알아낼 수 있을까요?,,
16,리안,적어도 자네가 본 조각상이 어쩌다 "깨어났는지"는 조금 더 분명해지겠지. 그 전에 미친 조각상들이 온 도시를 점령하지 않는다면 말일세.,,
17,당신,하하... 그런 끔찍한 소리는 농담으로도 하지 말아주시죠.,,
18,리안,나도 진심으로 떠올리고 싶지는 않다네.,,
19,리안,하여튼# 또 이상한 점이 있으면 즉시 보고하게. 이건 자네 혼자 감당할 일이 아니야.,,
20,당신,네. 계속 살펴보겠습니다.,,
21,당신,(리안도 모른다. 그럼 이 파편은 대체 뭘까?),,
